Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
99,1786655084740,1299,741,1300,1300,1300,1300,1299,1299,0,5.263157844543457,5,0,0,0,5.263157844543457,10,0,197604.09100341797,44782.295471191406,18700.35760498047,8095244288,4294963200,6373285888,3531632640
99,1786655084840,1299,741,1300,1300,1300,1300,1299,1299,0,5.263157844543457,5,0,0,0,5.263157844543457,10,0,197604.44073486328,44782.344787597656,18700.35760498047,8095244288,4294963200,6373285888,3531632640
99,1786655084940,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,5.263157844543457,5,5.263157844543457,9.523809432983398,9.090909004211426,5,10,0,197604.8074951172,44782.405212402344,18700.35772705078,8095244288,4294963200,6373519360,3531632640
99,1786655085040,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,5.263157844543457,5,5.263157844543457,9.523809432983398,9.090909004211426,5,10,0,197605.22149658203,44782.51104736328,18700.357849121094,8095244288,4294963200,6375387136,3531632640
99,1786655085140,1299,741,1300,1300,1300,1300,1299,1299,15.000000953674316,10,15.789472579956055,5,5.263157844543457,5.263157844543457,76.19047546386719,10.526315689086914,0,197605.70111083984,44782.681701660156,18700.357849121094,8095244288,4294963200,6375632896,3531632640
99,1786655085240,1299,741,1300,1300,1300,1300,1299,1299,15.000000953674316,10,15.789472579956055,5,5.263157844543457,5.263157844543457,76.19047546386719,10.526315689086914,0,197606.10766601563,44782.77746582031,18700.360900878906,8095244288,4294963200,6356692992,3531632640
99,1786655085340,1299,741,1300,1300,1300,1300,1299,1299,10,10,9.523809432983398,5.263157844543457,0,14.285715103149414,30.000001907348633,10,0,197606.49853515625,44782.86071777344,18700.360900878906,8095244288,4294963200,6354333696,3531632640
99,1786655085440,1299,741,1300,1300,1300,1300,1299,1299,10,10,9.523809432983398,5.263157844543457,0,14.285715103149414,30.000001907348633,10,0,197606.8927001953,44782.945068359375,18700.36102294922,8095244288,4294963200,6350155776,3531632640
99,1786655085540,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,5.263157844543457,5.263157844543457,20,5,5.263157844543457,10,5.263157844543457,0,197607.26104736328,44783.00341796875,18700.36102294922,8095244288,4294963200,6350155776,3531632640
99,1786655085641,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,5.263157844543457,5.263157844543457,20,5,5.263157844543457,10,5.263157844543457,0,197607.7491455078,44783.179260253906,18700.361083984375,8095244288,4294963200,6290485248,3531567104
99,1786655085741,1299,741,1300,1300,1300,1300,1299,1299,68.42105102539063,47.619049072265625,60.000003814697266,47.619049072265625,45,36.842105865478516,45,61.904762268066406,0,197608.4034423828,44783.50634765625,18700.370849609375,8095244288,4294963200,6299422720,3531567104
99,1786655085841,1299,741,1300,1300,1300,1300,1299,1299,68.42105102539063,47.619049072265625,60.000003814697266,47.619049072265625,45,36.842105865478516,45,61.904762268066406,0,197608.82940673828,44783.60546875,18700.386108398438,8095244288,4294963200,6305710080,3531567104
99,1786655085941,1299,741,1300,1300,1300,1300,1299,1299,14.285715103149414,9.523809432983398,5.263157844543457,0,5.263157844543457,5.263157844543457,5,5.263157844543457,0,197609.18914794922,44783.655334472656,18700.38623046875,8095244288,4294963200,6305955840,3531567104
99,1786655086041,1299,741,1300,1300,1300,1300,1299,1299,14.285715103149414,9.523809432983398,5.263157844543457,0,5.263157844543457,5.263157844543457,5,5.263157844543457,0,197609.6514892578,44783.80108642578,18700.391052246094,8095244288,4294963200,6306213888,3531567104
99,1786655086141,1299,741,1300,1300,1300,1300,1299,1299,15.789472579956055,10.526315689086914,25,15.789472579956055,80,15.000000953674316,10,15.789472579956055,0,197610.19091796875,44784.02313232422,18700.391052246094,8095244288,4294963200,6306213888,3531567104
99,1786655086241,1299,741,1300,1300,1300,1300,1299,1299,15.789472579956055,10.526315689086914,25,15.789472579956055,80,15.000000953674316,10,15.789472579956055,0,197610.63470458984,44784.1513671875,18700.39599609375,8095244288,4294963200,6298898432,3531567104
100,1786655086341,1299,741,1300,1300,1300,1300,1299,1299,10,5.263157844543457,10,10,25,0,0,5.263157844543457,0,197610.9818725586,44784.19500732422,18700.39617919922,8095244288,4294963200,6299152384,3531567104
99,1786655086441,1299,741,1300,1300,1300,1300,1299,1299,10,5.263157844543457,10,10,25,0,0,5.263157844543457,0,197611.34283447266,44784.250915527344,18700.39617919922,8095244288,4294963200,6299410432,3531567104
99,1786655086541,1299,741,1300,1300,1300,1300,1299,1299,0,14.285715103149414,10,15.000000953674316,0,10,9.523809432983398,10,0,197611.7518310547,44784.34881591797,18700.39874267578,8095244288,4294963200,6299668480,3531567104
99,1786655086641,1299,741,1300,1300,1300,1300,1299,1299,0,14.285715103149414,10,15.000000953674316,0,10,9.523809432983398,10,0,197612.12677001953,44784.41815185547,18700.398864746094,8095244288,4294963200,6299602944,3531567104
99,1786655086741,1299,741,1300,1300,1300,1300,1299,1299,10,5.263157844543457,5,5,5,5.263157844543457,5.263157844543457,0,0,197612.48364257813,44784.47149658203,18700.398864746094,8095244288,4294963200,6299602944,3531567104
99,1786655086842,1299,741,1300,1300,1300,1300,1299,1299,10,5.263157844543457,5,5,5,5.263157844543457,5.263157844543457,0,0,197612.83752441406,44784.521728515625,18700.39910888672,8095244288,4294963200,6299602944,3531558912
99,1786655086942,1299,741,1300,1300,1300,1300,1299,1299,25,5.263157844543457,10,5.263157844543457,0,5,5,10,0,197613.2412109375,44784.60870361328,18700.401794433594,8095244288,4294963200,6295535616,3531558912
99,1786655087042,1299,741,1300,1300,1300,1300,1299,1299,25,5.263157844543457,10,5.263157844543457,0,5,5,10,0,197613.65118408203,44784.713928222656,18700.402099609375,8095244288,4294963200,6295535616,3531558912
99,1786655087142,1299,741,1300,1300,1300,1300,1299,1299,15.000000953674316,14.285715103149414,10,5,80,10,5.263157844543457,10,0,197614.1495361328,44784.900390625,18700.402099609375,8095244288,4294963200,6295773184,3531558912
99,1786655087242,1299,741,1300,1300,1300,1300,1299,1299,15.000000953674316,14.285715103149414,10,5,80,10,5.263157844543457,10,0,197614.6103515625,44785.04541015625,18700.40301513672,8095244288,4294963200,6295773184,3531558912
99,1786655087342,1299,741,1300,1300,1300,1300,1299,1299,10,11.111111640930176,21.052631378173828,20,25,10.526315689086914,20,20,0,197615.0714111328,44785.185791015625,18700.40545654297,8095244288,4294963200,6295773184,3531558912
99,1786655087442,1299,741,1300,1300,1300,1300,1299,1299,10,11.111111640930176,21.052631378173828,20,25,10.526315689086914,20,20,0,197615.49853515625,44785.296630859375,18700.406494140625,8095244288,4294963200,6295773184,3531554816
99,1786655087542,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,14.285715103149414,10.526315689086914,14.285715103149414,10,9.523809432983398,10,10,0,197615.86419677734,44785.356994628906,18700.406799316406,8095244288,4294963200,6295773184,3531554816
99,1786655087642,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,14.285715103149414,10.526315689086914,14.285715103149414,10,9.523809432983398,10,10,0,197616.2889404297,44785.466796875,18700.407958984375,8095244288,4294963200,6295777280,3531554816
99,1786655087742,1299,741,1300,1300,1300,1300,1299,1299,15.000000953674316,10.526315689086914,14.285715103149414,10.526315689086914,9.523809432983398,19.047618865966797,15.789472579956055,10.526315689086914,0,197616.71881103516,44785.58123779297,18700.411865234375,8095244288,4294963200,6295769088,3531554816
99,1786655087842,1299,741,1300,1300,1300,1300,1299,1299,15.000000953674316,10.526315689086914,14.285715103149414,10.526315689086914,9.523809432983398,19.047618865966797,15.789472579956055,10.526315689086914,0,197617.12091064453,44785.675048828125,18700.411865234375,8095244288,4294963200,6295732224,3531554816
99,1786655087942,1299,741,1300,1300,1300,1300,1299,1299,10,5.555555820465088,5.263157844543457,15.000000953674316,5.263157844543457,5.263157844543457,5,10.526315689086914,0,197617.49908447266,44785.748107910156,18700.41192626953,8095244288,4294963200,6295732224,3531554816
99,1786655088043,1299,741,1300,1300,1300,1300,1299,1299,10,5.555555820465088,5.263157844543457,15.000000953674316,5.263157844543457,5.263157844543457,5,10.526315689086914,0,197617.92755126953,44785.864807128906,18700.41436767578,8095244288,4294963200,6290141184,3531554816
99,1786655088143,1299,741,1300,1300,1300,1300,1299,1299,5.555555820465088,50,42.105262756347656,15.789472579956055,5.263157844543457,10,5.263157844543457,5,0,197618.43194580078,44786.052185058594,18700.41436767578,8095244288,4294963200,6290231296,3531554816
99,1786655088243,1299,741,1300,1300,1300,1300,1299,1299,5.555555820465088,50,42.105262756347656,15.789472579956055,5.263157844543457,10,5.263157844543457,5,0,197618.83392333984,44786.15124511719,18700.41436767578,8095244288,4294963200,6290493440,3531554816
99,1786655088343,1299,741,1300,1300,1300,1300,1299,1299,5,9.523809432983398,15.000000953674316,10,10,5.263157844543457,5,5.263157844543457,0,197619.1883544922,44786.199768066406,18700.414489746094,8095244288,4294963200,6290493440,3531554816
99,1786655088443,1299,741,1300,1300,1300,1300,1299,1299,5,9.523809432983398,15.000000953674316,10,10,5.263157844543457,5,5.263157844543457,0,197619.63360595703,44786.32745361328,18700.417236328125,8095244288,4294963200,6303379456,3531554816
99,1786655088543,1299,741,1300,1300,1300,1300,1299,1299,10.526315689086914,5.263157844543457,18.18181800842285,10,19.047618865966797,10,21.052631378173828,0,0,197619.98999023438,44786.380920410156,18700.417358398438,8095244288,4294963200,6303625216,3531554816
99,1786655088643,1299,741,1300,1300,1300,1300,1299,1299,10.526315689086914,5.263157844543457,18.18181800842285,10,19.047618865966797,10,21.052631378173828,0,0,197620.34698486328,44786.43292236328,18700.417358398438,8095244288,4294963200,6300979200,3531554816
99,1786655088743,1299,741,1300,1300,1300,1300,1299,1299,0,5.263157844543457,0,4.761904716491699,5,0,10,9.523809432983398,0,197620.70623779297,44786.48370361328,18700.41748046875,8095244288,4294963200,6300979200,3531550720
99,1786655088843,1299,741,1300,1300,1300,1300,1299,1299,0,5.263157844543457,0,4.761904716491699,5,0,10,9.523809432983398,0,197621.13214111328,44786.59619140625,18700.41748046875,8095244288,4294963200,6301229056,3531550720
99,1786655088943,1299,741,1300,1300,1300,1300,1299,1299,15.000000953674316,5.555555820465088,20,11.111111640930176,5.555555820465088,11.111111640930176,15.789472579956055,15.789472579956055,0,197621.60577392578,44786.74542236328,18700.425048828125,8095244288,4294963200,6299111424,3531550720
99,1786655089044,1299,741,1300,1300,1300,1300,1299,1299,15.000000953674316,5.555555820465088,20,11.111111640930176,5.555555820465088,11.111111640930176,15.789472579956055,15.789472579956055,0,197622.03466796875,44786.859924316406,18700.42919921875,8095244288,4294963200,6299111424,3531550720
99,1786655089144,1299,741,1300,1300,1300,1300,1299,1299,10,14.285715103149414,10,14.285715103149414,80,9.523809432983398,10,5.263157844543457,0,197622.53997802734,44787.05194091797,18700.42919921875,8095244288,4294963200,6299594752,3531550720
99,1786655089244,1299,741,1300,1300,1300,1300,1299,1299,10,14.285715103149414,10,14.285715103149414,80,9.523809432983398,10,5.263157844543457,0,197622.92559814453,44787.13311767578,18700.430419921875,8095244288,4294963200,6298988544,3531550720
